repo,pr,url,username,date,total
cucumber-jvm,416,https://github.com/cucumber/cucumber-jvm/pull/416,tsundberg,2012-11-07,272
cucumber-js,98,https://github.com/cucumber/cucumber-js/pull/98,mcollina,2012-11-08,273
aruba,132,https://github.com/cucumber/aruba/pull/132,cknadler,2012-11-10,274
cucumber-js,99,https://github.com/cucumber/cucumber-js/pull/99,nnarhinen,2012-11-13,275
cucumber-jvm,423,https://github.com/cucumber/cucumber-jvm/pull/423,tsuhachev,2012-11-14,276
cucumber-jvm,425,https://github.com/cucumber/cucumber-jvm/pull/425,agattiker,2012-11-16,277
cucumber-ruby,342,https://github.com/cucumber/cucumber-ruby/pull/342,cjapes,2012-11-17,278
cucumber-jvm,429,https://github.com/cucumber/cucumber-jvm/pull/429,wjpowell,2012-11-20,279
cucumber-js,100,https://github.com/cucumber/cucumber-js/pull/100,jeremydstanton,2012-11-24,280
cucumber-rails,228,https://github.com/cucumber/cucumber-rails/pull/228,robin850,2012-11-25,281
cucumber-jvm,430,https://github.com/cucumber/cucumber-jvm/pull/430,Mishail,2012-11-27,282
cucumber-jvm,431,https://github.com/cucumber/cucumber-jvm/pull/431,anshulbajpai,2012-11-27,283
cucumber-cpp,52,https://github.com/cucumber/cucumber-cpp/pull/52,Sabst,2012-12-03,284
cucumber-jvm,434,https://github.com/cucumber/cucumber-jvm/pull/434,nalbion,2012-12-05,285
cucumber-ruby,346,https://github.com/cucumber/cucumber-ruby/pull/346,ksylvest,2012-12-05,286
cucumber-ruby,347,https://github.com/cucumber/cucumber-ruby/pull/347,adriancb,2012-12-07,287
cucumber-js,103,https://github.com/cucumber/cucumber-js/pull/103,atrniv,2012-12-10,288
cucumber-ruby,348,https://github.com/cucumber/cucumber-ruby/pull/348,rdammkoehler,2012-12-11,289
cucumber-js,106,https://github.com/cucumber/cucumber-js/pull/106,blai,2012-12-21,290
cucumber-ruby,352,https://github.com/cucumber/cucumber-ruby/pull/352,kumarharsh,2012-12-31,291
cucumber-rails,230,https://github.com/cucumber/cucumber-rails/pull/230,mathie,2013-01-03,292
cucumber-jvm,446,https://github.com/cucumber/cucumber-jvm/pull/446,yatskevich,2013-01-06,293
cucumber-ruby,354,https://github.com/cucumber/cucumber-ruby/pull/354,dosire,2013-01-24,294
cucumber-js,109,https://github.com/cucumber/cucumber-js/pull/109,vslinko,2013-01-28,295
cucumber-js,111,https://github.com/cucumber/cucumber-js/pull/111,jangxyz,2013-02-01,296
cucumber-rails,232,https://github.com/cucumber/cucumber-rails/pull/232,urbanautomaton,2013-02-02,297
cucumber-jvm,455,https://github.com/cucumber/cucumber-jvm/pull/455,notmattlucas,2013-02-03,298
cucumber-rails,233,https://github.com/cucumber/cucumber-rails/pull/233,pivotal-casebook,2013-02-07,299
aruba,144,https://github.com/cucumber/aruba/pull/144,y-higuchi,2013-02-08,300
aruba,145,https://github.com/cucumber/aruba/pull/145,stuartblair,2013-02-09,301
cucumber-rails,234,https://github.com/cucumber/cucumber-rails/pull/234,dbruns,2013-02-09,302
cucumber-jvm,464,https://github.com/cucumber/cucumber-jvm/pull/464,Luxor,2013-02-15,303
cucumber-ruby,360,https://github.com/cucumber/cucumber-ruby/pull/360,sferik,2013-02-19,304
cucumber-ruby,368,https://github.com/cucumber/cucumber-ruby/pull/368,paaloeye,2013-02-21,305
cucumber-ruby,372,https://github.com/cucumber/cucumber-ruby/pull/372,mikerobe,2013-02-23,306
cucumber-rails,236,https://github.com/cucumber/cucumber-rails/pull/236,rmoriz,2013-02-23,307
cucumber-rails,237,https://github.com/cucumber/cucumber-rails/pull/237,Kosmas,2013-02-27,308
cucumber-ruby,384,https://github.com/cucumber/cucumber-ruby/pull/384,teacup-on-rockingchair,2013-03-02,309
cucumber-ruby,385,https://github.com/cucumber/cucumber-ruby/pull/385,richardardrichard,2013-03-02,310
cucumber-ruby,389,https://github.com/cucumber/cucumber-ruby/pull/389,georgeguimaraes,2013-03-06,311
cucumber-ruby,390,https://github.com/cucumber/cucumber-ruby/pull/390,rdvdijk,2013-03-07,312
cucumber-jvm,475,https://github.com/cucumber/cucumber-jvm/pull/475,Pyrolistical,2013-03-08,313
cucumber-jvm,478,https://github.com/cucumber/cucumber-jvm/pull/478,joshughes,2013-03-11,314
cucumber-jvm,480,https://github.com/cucumber/cucumber-jvm/pull/480,ericmaxwell2003,2013-03-12,315
cucumber-ruby,395,https://github.com/cucumber/cucumber-ruby/pull/395,deepj,2013-03-14,316
cucumber-jvm,484,https://github.com/cucumber/cucumber-jvm/pull/484,kennethleider,2013-03-15,317
cucumber-ruby,398,https://github.com/cucumber/cucumber-ruby/pull/398,tooky,2013-03-16,318
cucumber-ruby,400,https://github.com/cucumber/cucumber-ruby/pull/400,avakarev,2013-03-19,319
cucumber-jvm,489,https://github.com/cucumber/cucumber-jvm/pull/489,pasviegas,2013-03-21,320
cucumber-rails,245,https://github.com/cucumber/cucumber-rails/pull/245,andrewhavens,2013-03-21,321
cucumber-js,116,https://github.com/cucumber/cucumber-js/pull/116,bclozel,2013-03-27,322
cucumber-rails,247,https://github.com/cucumber/cucumber-rails/pull/247,davebrace,2013-04-02,323
cucumber-js,117,https://github.com/cucumber/cucumber-js/pull/117,joshski,2013-04-04,324
cucumber-js,118,https://github.com/cucumber/cucumber-js/pull/118,mzedeler,2013-04-05,325
cucumber-jvm,500,https://github.com/cucumber/cucumber-jvm/pull/500,jangalinski,2013-04-07,326
cucumber-ruby,421,https://github.com/cucumber/cucumber-ruby/pull/421,dawid-sklodowski,2013-04-07,327
cucumber-jvm,501,https://github.com/cucumber/cucumber-jvm/pull/501,tomdcc,2013-04-08,328
cucumber-ruby,427,https://github.com/cucumber/cucumber-ruby/pull/427,luiz290788,2013-04-08,329
cucumber-ruby,433,https://github.com/cucumber/cucumber-ruby/pull/433,eiel,2013-04-10,330
cucumber-ruby,434,https://github.com/cucumber/cucumber-ruby/pull/434,sldblog,2013-04-11,331
cucumber-ruby,436,https://github.com/cucumber/cucumber-ruby/pull/436,calebTomlinson,2013-04-17,332
cucumber-ruby,440,https://github.com/cucumber/cucumber-ruby/pull/440,jp-beaudry,2013-04-23,333
cucumber-ruby,444,https://github.com/cucumber/cucumber-ruby/pull/444,bcleenders,2013-04-29,334
aruba,149,https://github.com/cucumber/aruba/pull/149,JonRowe,2013-05-06,335
cucumber-jvm,516,https://github.com/cucumber/cucumber-jvm/pull/516,carsonmcdonald,2013-05-09,336
cucumber-ruby,454,https://github.com/cucumber/cucumber-ruby/pull/454,chrismdp,2013-05-14,337
cucumber-ruby,456,https://github.com/cucumber/cucumber-ruby/pull/456,levinalex,2013-05-15,338
cucumber-jvm,523,https://github.com/cucumber/cucumber-jvm/pull/523,ggili,2013-05-19,339
cucumber-jvm,525,https://github.com/cucumber/cucumber-jvm/pull/525,mfellner,2013-05-20,340
cucumber-js,119,https://github.com/cucumber/cucumber-js/pull/119,TomV,2013-05-22,341
aruba,154,https://github.com/cucumber/aruba/pull/154,maxmeyer,2013-05-26,342
cucumber-cpp,58,https://github.com/cucumber/cucumber-cpp/pull/58,gambr,2013-05-26,343
cucumber-cpp,59,https://github.com/cucumber/cucumber-cpp/pull/59,meshell,2013-05-30,344
cucumber-jvm,533,https://github.com/cucumber/cucumber-jvm/pull/533,deadmoto,2013-05-30,345
cucumber-rails,249,https://github.com/cucumber/cucumber-rails/pull/249,ibroadfo,2013-06-04,346
cucumber-jvm,536,https://github.com/cucumber/cucumber-jvm/pull/536,brasmusson,2013-06-05,347
cucumber-jvm,537,https://github.com/cucumber/cucumber-jvm/pull/537,quantoid,2013-06-07,348
cucumber-jvm,539,https://github.com/cucumber/cucumber-jvm/pull/539,alfredalmendra,2013-06-09,349
cucumber-js,122,https://github.com/cucumber/cucumber-js/pull/122,simondean,2013-06-13,350
aruba,155,https://github.com/cucumber/aruba/pull/155,sethvargo,2013-06-18,351
